,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,4,1,S,-5,-5,0,0
1,4,1,S,-5,-4,1,0
2,4,1,S,-5,-3,2,0
3,4,1,S,-5,-2,3,0
4,4,1,S,-5,-1,4,0
5,4,1,S,-5,0,5,0
6,4,1,S,-5,1,6,0
7,4,1,S,-5,2,7,0
8,4,1,S,-5,3,8,0
9,4,1,S,-5,4,9,0
10,4,1,S,-5,5,10,0
11,4,1,S,-4,-5,11,0
12,4,1,S,-4,-4,12,0
13,4,1,S,-4,-3,13,0
14,4,1,S,-4,-2,14,0
15,4,1,S,-4,-1,15,0
16,4,1,S,-4,0,16,0
17,4,1,S,-4,1,17,0
18,4,1,S,-4,2,18,0
19,4,1,S,-4,3,19,0
20,4,1,S,-4,4,20,0
21,4,1,S,-4,5,21,0
22,4,1,S,-3,-5,22,0
23,4,1,S,-3,-4,23,0
24,4,1,S,-3,-3,24,0
25,4,1,S,-3,-2,25,0
26,4,1,S,-3,-1,26,0
27,4,1,S,-3,0,27,0
28,4,1,S,-3,1,28,0
29,4,1,S,-3,2,29,0
30,4,1,S,-3,3,30,0
31,4,1,S,-3,4,31,0
32,4,1,S,-3,5,32,0
33,4,1,S,-2,-5,33,0
34,4,1,S,-2,-4,34,0
35,4,1,S,-2,-3,35,0
36,4,1,S,-2,-2,36,0
37,4,1,S,-2,-1,37,0
38,4,1,S,-2,0,38,0
39,4,1,S,-2,1,39,0
40,4,1,S,-2,2,40,0
41,4,1,S,-2,3,41,0
42,4,1,S,-2,4,42,0
43,4,1,S,-2,5,43,0
44,4,1,S,-1,-5,44,0
45,4,1,S,-1,-4,45,0
46,4,1,S,-1,-3,46,0
47,4,1,S,-1,-2,47,0
48,4,1,S,-1,-1,48,0
49,4,1,S,-1,0,49,0
50,4,1,S,-1,1,50,0
51,4,1,S,-1,2,51,0
52,4,1,S,-1,3,52,0
53,4,1,S,-1,4,53,0
54,4,1,S,-1,5,54,0
55,4,1,S,0,-5,55,0
56,4,1,S,0,-4,56,0
57,4,1,S,0,-3,57,0
58,4,1,S,0,-2,58,0
59,4,1,S,0,-1,59,0
60,4,1,S,0,0,60,0
61,4,1,S,0,1,61,0
62,4,1,S,0,2,62,0
63,4,1,S,0,3,63,0
64,4,1,S,0,4,64,0
65,4,1,S,0,5,65,0
66,4,1,S,1,-5,66,0
67,4,1,S,1,-4,67,0
68,4,1,S,1,-3,68,0
69,4,1,S,1,-2,69,0
70,4,1,S,1,-1,70,0
71,4,1,S,1,0,71,0
72,4,1,S,1,1,72,0
73,4,1,S,1,2,73,0
74,4,1,S,1,3,74,0
75,4,1,S,1,4,75,0
76,4,1,S,1,5,76,0
77,4,1,S,2,-5,77,0
78,4,1,S,2,-4,78,0
79,4,1,S,2,-3,79,0
80,4,1,S,2,-2,80,0
81,4,1,S,2,-1,81,0
82,4,1,S,2,0,82,0
83,4,1,S,2,1,83,0
84,4,1,S,2,2,84,0
85,4,1,S,2,3,85,0
86,4,1,S,2,4,86,0
87,4,1,S,2,5,87,0
88,4,1,S,3,-5,88,0
89,4,1,S,3,-4,89,0
90,4,1,S,3,-3,90,0
91,4,1,S,3,-2,91,0
92,4,1,S,3,-1,92,0
93,4,1,S,3,0,93,0
94,4,1,S,3,1,94,0
95,4,1,S,3,2,95,0
96,4,1,S,3,3,96,0
97,4,1,S,3,4,97,0
98,4,1,S,3,5,98,0
99,4,1,S,4,-5,99,0
100,4,1,S,4,-4,100,0
101,4,1,S,4,-3,101,0
102,4,1,S,4,-2,102,0
103,4,1,S,4,-1,103,0
104,4,1,S,4,0,104,0
105,4,1,S,4,1,105,0
106,4,1,S,4,2,106,0
107,4,1,S,4,3,107,0
108,4,1,S,4,4,108,0
109,4,1,S,4,5,109,0
110,4,1,S,5,-5,110,0
111,4,1,S,5,-4,111,0
112,4,1,S,5,-3,112,0
113,4,1,S,5,-2,113,0
114,4,1,S,5,-1,114,0
115,4,1,S,5,0,115,0
116,4,1,S,5,1,116,0
117,4,1,S,5,2,117,0
118,4,1,S,5,3,118,0
119,4,1,S,5,4,119,0
120,4,1,S,5,5,120,0
121,5,1,S,-5,-5,121,0
122,5,1,S,-5,-4,122,0
123,5,1,S,-5,-3,123,0
124,5,1,S,-5,-2,124,0
125,5,1,S,-5,-1,125,0
126,5,1,S,-5,0,126,0
127,5,1,S,-5,1,127,0
128,5,1,S,-5,2,128,0
129,5,1,S,-5,3,129,0
130,5,1,S,-5,4,130,0
131,5,1,S,-5,5,131,0
132,5,1,S,-4,-5,132,0
133,5,1,S,-4,-4,133,0
134,5,1,S,-4,-3,134,0
135,5,1,S,-4,-2,135,0
136,5,1,S,-4,-1,136,0
137,5,1,S,-4,0,137,0
138,5,1,S,-4,1,138,0
139,5,1,S,-4,2,139,0
140,5,1,S,-4,3,140,0
141,5,1,S,-4,4,141,0
142,5,1,S,-4,5,142,0
143,5,1,S,-3,-5,143,0
144,5,1,S,-3,-4,144,0
145,5,1,S,-3,-3,145,0
146,5,1,S,-3,-2,146,0
147,5,1,S,-3,-1,147,0
148,5,1,S,-3,0,148,0
149,5,1,S,-3,1,149,0
150,5,1,S,-3,2,150,0
151,5,1,S,-3,3,151,0
152,5,1,S,-3,4,152,0
153,5,1,S,-3,5,153,0
154,5,1,S,-2,-5,154,0
155,5,1,S,-2,-4,155,0
156,5,1,S,-2,-3,156,0
157,5,1,S,-2,-2,157,0
158,5,1,S,-2,-1,158,0
159,5,1,S,-2,0,159,0
160,5,1,S,-2,1,160,0
161,5,1,S,-2,2,161,0
162,5,1,S,-2,3,162,0
163,5,1,S,-2,4,163,0
164,5,1,S,-2,5,164,0
165,5,1,S,-1,-5,165,0
166,5,1,S,-1,-4,166,0
167,5,1,S,-1,-3,167,0
168,5,1,S,-1,-2,168,0
169,5,1,S,-1,-1,169,0
170,5,1,S,-1,0,170,0
171,5,1,S,-1,1,171,0
172,5,1,S,-1,2,172,0
173,5,1,S,-1,3,173,0
174,5,1,S,-1,4,174,0
175,5,1,S,-1,5,175,0
176,5,1,S,0,-5,176,0
177,5,1,S,0,-4,177,0
178,5,1,S,0,-3,178,0
179,5,1,S,0,-2,179,0
180,5,1,S,0,-1,180,0
181,5,1,S,0,0,181,0
182,5,1,S,0,1,182,0
183,5,1,S,0,2,183,0
184,5,1,S,0,3,184,0
185,5,1,S,0,4,185,0
186,5,1,S,0,5,186,0
187,5,1,S,1,-5,187,0
188,5,1,S,1,-4,188,0
189,5,1,S,1,-3,189,0
190,5,1,S,1,-2,190,0
191,5,1,S,1,-1,191,0
192,5,1,S,1,0,192,0
193,5,1,S,1,1,193,0
194,5,1,S,1,2,194,0
195,5,1,S,1,3,195,0
196,5,1,S,1,4,196,0
197,5,1,S,1,5,197,0
198,5,1,S,2,-5,198,0
199,5,1,S,2,-4,199,0
200,5,1,S,2,-3,200,0
201,5,1,S,2,-2,201,0
202,5,1,S,2,-1,202,0
203,5,1,S,2,0,203,0
204,5,1,S,2,1,204,0
205,5,1,S,2,2,205,0
206,5,1,S,2,3,206,0
207,5,1,S,2,4,207,0
208,5,1,S,2,5,208,0
209,5,1,S,3,-5,209,0
210,5,1,S,3,-4,210,0
211,5,1,S,3,-3,211,0
212,5,1,S,3,-2,212,0
213,5,1,S,3,-1,213,0
214,5,1,S,3,0,214,0
215,5,1,S,3,1,215,0
216,5,1,S,3,2,216,0
217,5,1,S,3,3,217,0
218,5,1,S,3,4,218,0
219,5,1,S,3,5,219,0
220,5,1,S,4,-5,220,0
221,5,1,S,4,-4,221,0
222,5,1,S,4,-3,222,0
223,5,1,S,4,-2,223,0
224,5,1,S,4,-1,224,0
225,5,1,S,4,0,225,0
226,5,1,S,4,1,226,0
227,5,1,S,4,2,227,0
228,5,1,S,4,3,228,0
229,5,1,S,4,4,229,0
230,5,1,S,4,5,230,0
231,5,1,S,5,-5,231,0
232,5,1,S,5,-4,232,0
233,5,1,S,5,-3,233,0
234,5,1,S,5,-2,234,0
235,5,1,S,5,-1,235,0
