,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,QValue,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap,timesVisited,learningRate
0,32,2,-5,-5,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.0744898575962491,484,.,544,544,0,1.0
1,32,2,-5,-5,-5,-5,-1,0,32,2,#,32,2,#,0,0,0,0,-0.02885071768421779,484,.,544,544,0,1.0
2,32,2,-5,-5,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,-0.03381593158067622,484,.,544,544,0,1.0
3,32,2,-5,-5,-5,-5,0,0,32,2,#,32,2,#,0,0,0,0,-0.027862760811178486,484,.,544,544,0,1.0
4,32,2,-5,-5,-5,-4,-1,1,32,2,#,32,2,#,0,0,0,0,-0.0976038336135498,484,.,544,544,0,1.0
5,32,2,-5,-5,-5,-4,0,1,32,2,#,32,2,#,0,0,0,0,-0.027261652814997678,484,.,544,544,0,1.0
6,32,2,-5,-5,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,-0.06498722866890347,484,.,544,544,0,1.0
7,32,2,-5,-5,-4,-5,1,0,32,2,#,32,2,#,0,0,0,0,-0.043359136033494484,484,.,544,544,0,1.0
8,32,2,-5,-5,-4,-4,1,1,32,2,#,32,2,#,0,0,0,0,-0.033380427485471736,484,.,544,544,0,1.0
9,32,2,-5,-4,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.09274068862360502,485,.,544,544,0,1.0
10,32,2,-5,-4,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,-0.005681560515673811,485,.,544,544,0,1.0
11,32,2,-5,-4,-5,-4,-1,0,32,2,#,32,2,#,0,0,0,0,-0.07255949048944606,485,.,544,544,0,1.0
12,32,2,-5,-4,-5,-4,0,0,32,2,#,32,2,#,0,0,0,0,-0.07420474217909531,485,.,544,544,0,1.0
13,32,2,-5,-4,-5,-3,-1,1,32,2,#,32,2,#,0,0,0,0,-0.06759891797458231,485,.,544,544,0,1.0
14,32,2,-5,-4,-5,-3,0,1,32,2,#,32,2,#,0,0,0,0,-0.051948469115144884,485,.,544,544,0,1.0
15,32,2,-5,-4,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,-0.032513009189995654,485,.,544,544,0,1.0
16,32,2,-5,-4,-4,-4,1,0,32,2,#,32,2,#,0,0,0,0,-0.055698102067668655,485,.,544,544,0,1.0
17,32,2,-5,-4,-4,-3,1,1,32,2,#,32,2,#,0,0,0,0,-0.04768039102568686,485,.,544,544,0,1.0
18,32,2,-5,-3,-5,-4,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.05644531888811384,486,.,544,544,0,1.0
19,32,2,-5,-3,-5,-4,0,-1,32,2,#,32,2,#,0,0,0,0,-0.034118530578069114,486,.,544,544,0,1.0
20,32,2,-5,-3,-5,-3,-1,0,32,2,#,32,2,#,0,0,0,0,-0.050392439811696735,486,.,544,544,0,1.0
21,32,2,-5,-3,-5,-3,0,0,32,2,#,32,2,#,0,0,0,0,-0.027597332851333103,486,.,544,544,0,1.0
22,32,2,-5,-3,-5,-2,-1,1,32,2,#,32,2,#,0,0,0,0,-0.01826247031232872,486,.,544,544,0,1.0
23,32,2,-5,-3,-5,-2,0,1,32,2,#,32,2,#,0,0,0,0,-0.08746458615616952,486,.,544,544,0,1.0
24,32,2,-5,-3,-4,-4,1,-1,32,2,#,32,2,#,0,0,0,0,-0.05867978556823622,486,.,544,544,0,1.0
25,32,2,-5,-3,-4,-3,1,0,32,2,#,32,2,#,0,0,0,0,-0.06744667792878345,486,.,544,544,0,1.0
26,32,2,-5,-3,-4,-2,1,1,32,2,#,32,2,#,0,0,0,0,-0.07589585166606012,486,.,544,544,0,1.0
27,32,2,-5,-2,-5,-3,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.07723251875261078,487,.,544,544,0,1.0
28,32,2,-5,-2,-5,-3,0,-1,32,2,#,32,2,#,0,0,0,0,-0.0014877050749106252,487,.,544,544,0,1.0
29,32,2,-5,-2,-5,-2,-1,0,32,2,#,32,2,#,0,0,0,0,-0.05256779511197457,487,.,544,544,0,1.0
30,32,2,-5,-2,-5,-2,0,0,32,2,#,32,2,#,0,0,0,0,-0.050392652913446245,487,.,544,544,0,1.0
31,32,2,-5,-2,-5,-1,-1,1,32,2,#,32,2,#,0,0,0,0,-0.05733478992759011,487,.,544,544,0,1.0
32,32,2,-5,-2,-5,-1,0,1,32,2,#,32,2,#,0,0,0,0,-0.014625771346219868,487,.,544,544,0,1.0
33,32,2,-5,-2,-4,-3,1,-1,32,2,#,32,2,#,0,0,0,0,-0.0011897629911053198,487,.,544,544,0,1.0
34,32,2,-5,-2,-4,-2,1,0,32,2,#,32,2,#,0,0,0,0,-0.0627950051852694,487,.,544,544,0,1.0
35,32,2,-5,-2,-4,-1,1,1,32,2,#,32,2,#,0,0,0,0,-0.006427955195740284,487,.,544,544,0,1.0
36,32,2,-5,-1,-5,-2,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.08493646402709704,488,.,544,544,0,1.0
37,32,2,-5,-1,-5,-2,0,-1,32,2,#,32,2,#,0,0,0,0,-0.09644850429770487,488,.,544,544,0,1.0
38,32,2,-5,-1,-5,-1,-1,0,32,2,#,32,2,#,0,0,0,0,-0.06962857064519858,488,.,544,544,0,1.0
39,32,2,-5,-1,-5,-1,0,0,32,2,#,32,2,#,0,0,0,0,-0.025788512627383964,488,.,544,544,0,1.0
40,32,2,-5,-1,-5,0,-1,1,32,2,#,32,2,#,0,0,0,0,-0.08577373336875034,488,.,544,544,0,1.0
41,32,2,-5,-1,-5,0,0,1,32,2,#,32,2,#,0,0,0,0,-0.09811396461984603,488,.,544,544,0,1.0
42,32,2,-5,-1,-4,-2,1,-1,32,2,#,32,2,#,0,0,0,0,-0.07858775806697609,488,.,544,544,0,1.0
43,32,2,-5,-1,-4,-1,1,0,32,2,#,32,2,#,0,0,0,0,-0.019419691042644363,488,.,544,544,0,1.0
44,32,2,-5,-1,-4,0,1,1,32,2,#,32,2,#,0,0,0,0,-0.018168416317785735,488,.,544,544,0,1.0
45,32,2,-5,0,-5,-1,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.09047799925799188,489,.,544,544,0,1.0
46,32,2,-5,0,-5,-1,0,-1,32,2,#,32,2,#,0,0,0,0,-0.06191393264277837,489,.,544,544,0,1.0
47,32,2,-5,0,-5,0,-1,0,32,2,#,32,2,#,0,0,0,0,-0.0034939776204813283,489,.,544,544,0,1.0
48,32,2,-5,0,-5,0,0,0,32,2,#,32,2,#,0,0,0,0,-0.08108393693480201,489,.,544,544,0,1.0
49,32,2,-5,0,-5,1,-1,1,32,2,#,32,2,#,0,0,0,0,-0.03811797179451222,489,.,544,544,0,1.0
50,32,2,-5,0,-5,1,0,1,32,2,#,32,2,#,0,0,0,0,-0.04762896756976125,489,.,544,544,0,1.0
