,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,9.946920115881722
0,2.0,11.462855168466179
0,3.0,14.704905546212217
0,4.0,15.930893459233856
0,5.0,17.161500685916295
0,6.0,18.385985385540263
0,7.0,19.468667616644105
0,8.0,19.765947970698424
0,9.0,20.080979456345062
0,10.0,21.211557598075274
0,11.0,22.33637487391328
0,12.0,23.658667551116924
0,13.0,24.779133312827863
0,14.0,25.179180461410358
0,15.0,25.391884803274415
0,16.0,25.669897482052733
0,17.0,26.931365434012115
0,18.0,28.10378667193371
0,19.0,29.130252208978618
0,20.0,31.13379560872268
0,21.0,31.96984485165264
0,22.0,34.44184666499032
0,23.0,34.63420509211913
0,24.0,36.66479020282653
0,25.0,38.067362179987114
0,26.0,38.289060361916306
0,27.0,38.54826744379952
0,28.0,39.23175360766143
0,29.0,39.456089787257966
0,30.0,40.725967204730615
0,31.0,41.267690821667905
0,32.0,41.98330962755372
0,33.0,42.16649841918347
0,34.0,42.54842626604654
0,35.0,44.69755301393808
0,36.0,45.22910070759203
0,37.0,45.505387945669995
0,38.0,45.67928040813712
0,39.0,48.07965591925657
0,40.0,48.24373432692266
0,41.0,48.4780537133429
0,42.0,48.551750864740384
0,43.0,48.70148939845292
0,44.0,48.97856674175682
0,45.0,49.266644721166415
0,46.0,51.54841357524542
0,47.0,51.70093008833396
0,48.0,52.00163246955693
0,49.0,52.122731453850896
0,50.0,52.24374629706946
0,51.0,52.59879056230341
0,52.0,53.214863546872444
0,53.0,53.401485084963426
0,54.0,53.66429178391099
0,55.0,53.80971194831181
0,56.0,53.950323111707604
0,57.0,54.224194266808844
0,58.0,54.45676235818659
0,59.0,54.59726020095838
0,60.0,54.827768610621035
0,61.0,54.97255921237191
0,62.0,55.07294853422997
0,63.0,55.347333056141984
0,64.0,55.462036980527266
0,65.0,55.62010884687017
0,66.0,55.707891970683434
0,67.0,55.89080081022628
0,68.0,56.10933562590239
0,69.0,56.26341656583543
0,70.0,56.45414768830413
0,71.0,56.54439708985085
0,72.0,56.68530345722682
0,73.0,56.7755826541414
0,74.0,56.91338571565629
0,75.0,57.909197278663726
0,76.0,58.10184407325586
0,77.0,58.23022996878137
