,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
0,3.0,3.0
0,4.0,4.0
0,5.0,5.0
0,6.0,7.0
0,7.0,7.0
0,8.0,8.0
0,9.0,10.0
0,10.0,12.0
0,11.0,13.219999999999999
0,12.0,13.297
0,13.0,17.018349999999998
0,14.0,17.18335
0,15.0,17.251548380566803
0,16.0,18.378349999999998
0,17.0,18.454232352941176
0,18.0,18.48335
0,19.0,18.56099705882353
0,20.0,18.62635
0,21.0,21.66485
0,22.0,21.693011654135336
0,23.0,22.22869482758621
0,24.0,23.295958695652175
0,25.0,24.342915217391305
0,26.0,24.55965769230769
0,27.0,26.577350000000003
0,28.0,28.17643285714286
0,29.0,28.89746794871795
0,30.0,29.455757395341617
0,31.0,29.700129906245035
0,32.0,30.093114107142856
0,33.0,30.844684161290324
0,34.0,30.908555875576038
0,35.0,31.183447252747253
0,36.0,31.227773505434783
0,37.0,31.340445071964957
0,38.0,31.40390504255319
0,39.0,31.5488875
0,40.0,31.792612214989443
0,41.0,31.81442538377047
0,42.0,32.03694078396941
0,43.0,34.051723016547314
0,44.0,34.22779185705424
0,45.0,34.271367158365834
0,46.0,34.29164686702926
0,47.0,35.32658859174808
0,48.0,36.435696187353635
0,49.0,36.493296203007525
0,50.0,36.72074852534562
0,51.0,36.74029
0,52.0,36.77039666023166
0,53.0,36.96283571428572
0,54.0,37.00921334317511
0,55.0,37.02166361362676
0,56.0,37.07922836054422
0,57.0,37.08708499573561
0,58.0,37.20057254621849
0,59.0,37.216784515527955
0,60.0,37.22728130798078
0,61.0,37.26510677116705
0,62.0,37.28574986827267
0,63.0,38.517216113044796
0,64.0,38.612362259104216
0,65.0,38.70273883707374
0,66.0,38.714005580357146
0,67.0,38.73339096497253
0,68.0,38.808106606525115
0,69.0,38.83364998521983
0,70.0,38.85235981734864
0,71.0,38.88948838877722
0,72.0,38.896408628013404
0,73.0,38.90337945283204
0,74.0,38.9358773833424
0,75.0,38.99639181232316
0,76.0,39.00627660494989
0,77.0,39.02340898164401
0,78.0,39.03478284184216
0,79.0,39.08261901574769
0,80.0,39.10324980053649
0,81.0,39.111378246954104
0,82.0,39.12202084403754
0,83.0,39.127061612903226
0,84.0,39.14164860662703
0,85.0,39.15146150728802
0,86.0,39.16414877856775
0,87.0,39.189748033111066
0,88.0,39.19966583738236
0,89.0,39.214717583862814
0,90.0,39.27411630799247
