,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,QValue,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap,timesVisited,learningRate
0,32,2,-5,-5,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.014447682986679547,484,.,544,544,0,1.0
1,32,2,-5,-5,-5,-5,-1,0,32,2,#,32,2,#,0,0,0,0,-0.02584776740464803,484,.,544,544,0,1.0
2,32,2,-5,-5,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,-0.08561520695469062,484,.,544,544,0,1.0
3,32,2,-5,-5,-5,-5,0,0,32,2,#,32,2,#,0,0,0,0,-0.007418146235433895,484,.,544,544,0,1.0
4,32,2,-5,-5,-5,-4,-1,1,32,2,#,32,2,#,0,0,0,0,-0.0827962631877703,484,.,544,544,0,1.0
5,32,2,-5,-5,-5,-4,0,1,32,2,#,32,2,#,0,0,0,0,-0.08692069983784356,484,.,544,544,0,1.0
6,32,2,-5,-5,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,-0.012022656861964062,484,.,544,544,0,1.0
7,32,2,-5,-5,-4,-5,1,0,32,2,#,32,2,#,0,0,0,0,-0.03978992447017024,484,.,544,544,0,1.0
8,32,2,-5,-5,-4,-4,1,1,32,2,#,32,2,#,0,0,0,0,-0.04594737936123201,484,.,544,544,0,1.0
9,32,2,-5,-4,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.023833004496315882,485,.,544,544,0,1.0
10,32,2,-5,-4,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,-0.05348839323821872,485,.,544,544,0,1.0
11,32,2,-5,-4,-5,-4,-1,0,32,2,#,32,2,#,0,0,0,0,-0.07400159179185305,485,.,544,544,0,1.0
12,32,2,-5,-4,-5,-4,0,0,32,2,#,32,2,#,0,0,0,0,-0.08117867561338414,485,.,544,544,0,1.0
13,32,2,-5,-4,-5,-3,-1,1,32,2,#,32,2,#,0,0,0,0,-0.06406862763523333,485,.,544,544,0,1.0
14,32,2,-5,-4,-5,-3,0,1,32,2,#,32,2,#,0,0,0,0,-0.08055471204127962,485,.,544,544,0,1.0
15,32,2,-5,-4,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,-0.01373821811349804,485,.,544,544,0,1.0
16,32,2,-5,-4,-4,-4,1,0,32,2,#,32,2,#,0,0,0,0,-0.004719142316932559,485,.,544,544,0,1.0
17,32,2,-5,-4,-4,-3,1,1,32,2,#,32,2,#,0,0,0,0,-0.004357857840794593,485,.,544,544,0,1.0
18,32,2,-5,-3,-5,-4,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.05915687347916089,486,.,544,544,0,1.0
19,32,2,-5,-3,-5,-4,0,-1,32,2,#,32,2,#,0,0,0,0,-0.03138224140542144,486,.,544,544,0,1.0
20,32,2,-5,-3,-5,-3,-1,0,32,2,#,32,2,#,0,0,0,0,-0.06317642162317655,486,.,544,544,0,1.0
21,32,2,-5,-3,-5,-3,0,0,32,2,#,32,2,#,0,0,0,0,-0.08505495415103524,486,.,544,544,0,1.0
22,32,2,-5,-3,-5,-2,-1,1,32,2,#,32,2,#,0,0,0,0,-0.08162680855376085,486,.,544,544,0,1.0
23,32,2,-5,-3,-5,-2,0,1,32,2,#,32,2,#,0,0,0,0,-0.07833830614340018,486,.,544,544,0,1.0
24,32,2,-5,-3,-4,-4,1,-1,32,2,#,32,2,#,0,0,0,0,-0.008715114384460723,486,.,544,544,0,1.0
25,32,2,-5,-3,-4,-3,1,0,32,2,#,32,2,#,0,0,0,0,-0.05497055247917598,486,.,544,544,0,1.0
26,32,2,-5,-3,-4,-2,1,1,32,2,#,32,2,#,0,0,0,0,-0.05237390616771507,486,.,544,544,0,1.0
27,32,2,-5,-2,-5,-3,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.027458871105127444,487,.,544,544,0,1.0
28,32,2,-5,-2,-5,-3,0,-1,32,2,#,32,2,#,0,0,0,0,-0.06829555073802146,487,.,544,544,0,1.0
29,32,2,-5,-2,-5,-2,-1,0,32,2,#,32,2,#,0,0,0,0,-0.04066970600951045,487,.,544,544,0,1.0
30,32,2,-5,-2,-5,-2,0,0,32,2,#,32,2,#,0,0,0,0,-0.07542794717236206,487,.,544,544,0,1.0
31,32,2,-5,-2,-5,-1,-1,1,32,2,#,32,2,#,0,0,0,0,-0.07877136912657523,487,.,544,544,0,1.0
32,32,2,-5,-2,-5,-1,0,1,32,2,#,32,2,#,0,0,0,0,-0.08996846550688986,487,.,544,544,0,1.0
33,32,2,-5,-2,-4,-3,1,-1,32,2,#,32,2,#,0,0,0,0,-0.06831802752719954,487,.,544,544,0,1.0
34,32,2,-5,-2,-4,-2,1,0,32,2,#,32,2,#,0,0,0,0,-0.01755274559606694,487,.,544,544,0,1.0
35,32,2,-5,-2,-4,-1,1,1,32,2,#,32,2,#,0,0,0,0,-0.050366631392618766,487,.,544,544,0,1.0
36,32,2,-5,-1,-5,-2,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.029327508884998493,488,.,544,544,0,1.0
37,32,2,-5,-1,-5,-2,0,-1,32,2,#,32,2,#,0,0,0,0,-0.01669415235957078,488,.,544,544,0,1.0
38,32,2,-5,-1,-5,-1,-1,0,32,2,#,32,2,#,0,0,0,0,-0.08825400648517179,488,.,544,544,0,1.0
39,32,2,-5,-1,-5,-1,0,0,32,2,#,32,2,#,0,0,0,0,-0.07995798192518638,488,.,544,544,0,1.0
40,32,2,-5,-1,-5,0,-1,1,32,2,#,32,2,#,0,0,0,0,-0.03535367792906498,488,.,544,544,0,1.0
41,32,2,-5,-1,-5,0,0,1,32,2,#,32,2,#,0,0,0,0,-0.06042768302128968,488,.,544,544,0,1.0
42,32,2,-5,-1,-4,-2,1,-1,32,2,#,32,2,#,0,0,0,0,-0.05663235695244097,488,.,544,544,0,1.0
43,32,2,-5,-1,-4,-1,1,0,32,2,#,32,2,#,0,0,0,0,-0.06616764670291952,488,.,544,544,0,1.0
44,32,2,-5,-1,-4,0,1,1,32,2,#,32,2,#,0,0,0,0,-0.058876193241210566,488,.,544,544,0,1.0
45,32,2,-5,0,-5,-1,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.010654199033936607,489,.,544,544,0,1.0
46,32,2,-5,0,-5,-1,0,-1,32,2,#,32,2,#,0,0,0,0,-0.06950831330811774,489,.,544,544,0,1.0
47,32,2,-5,0,-5,0,-1,0,32,2,#,32,2,#,0,0,0,0,-0.04588352390054397,489,.,544,544,0,1.0
48,32,2,-5,0,-5,0,0,0,32,2,#,32,2,#,0,0,0,0,-0.04115490620115673,489,.,544,544,0,1.0
49,32,2,-5,0,-5,1,-1,1,32,2,#,32,2,#,0,0,0,0,-0.06677604860631645,489,.,544,544,0,1.0
50,32,2,-5,0,-5,1,0,1,32,2,#,32,2,#,0,0,0,0,-0.035449630901452214,489,.,544,544,0,1.0
51,32,2,-5,0,-4,-1,1,-1,32,2,#,32,2,#,0,0,0,0,-0.01523619094453492,489,.,544,544,0,1.0
52,32,2,-5,0,-4,0,1,0,32,2,#,32,2,#,0,0,0,0,-0.030667753701312334,489,.,544,544,0,1.0
53,32,2,-5,0,-4,1,1,1,32,2,#,32,2,#,0,0,0,0,-0.046344231064215285,489,.,544,544,0,1.0
54,32,2,-5,1,-5,0,-1,-1,32,2,#,32,2,#,0,0,0,0,-0.01824564639894441,490,.,544,544,0,1.0
55,32,2,-5,1,-5,0,0,-1,32,2,#,32,2,#,0,0,0,0,-0.017930607320868777,490,.,544,544,0,1.0
56,32,2,-5,1,-5,1,-1,0,32,2,#,32,2,#,0,0,0,0,-0.08092432877002875,490,.,544,544,0,1.0
57,32,2,-5,1,-5,1,0,0,32,2,#,32,2,#,0,0,0,0,-0.024039369503003255,490,.,544,544,0,1.0
