,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap,QValue,timesVisited,learningRate
0,32,2,-5,-5,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0144476829866795,0.0,1.0
1,32,2,-5,-5,-5,-5,-1,0,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.025847767404648,0.0,1.0
2,32,2,-5,-5,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0856152069546906,0.0,1.0
3,32,2,-5,-5,-5,-5,0,0,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0074181462354338,0.0,1.0
4,32,2,-5,-5,-5,-4,-1,1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0827962631877703,0.0,1.0
5,32,2,-5,-5,-5,-4,0,1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0869206998378435,0.0,1.0
6,32,2,-5,-5,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.012022656861964,0.0,1.0
7,32,2,-5,-5,-4,-5,1,0,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.0397899244701702,0.0,1.0
8,32,2,-5,-5,-4,-4,1,1,32,2,#,32,2,#,0,0,0,0,484,.,544,544,-0.045947379361232,0.0,1.0
9,32,2,-5,-4,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0238330044963158,0.0,1.0
10,32,2,-5,-4,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0534883932382187,0.0,1.0
11,32,2,-5,-4,-5,-4,-1,0,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.074001591791853,0.0,1.0
12,32,2,-5,-4,-5,-4,0,0,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0811786756133841,0.0,1.0
13,32,2,-5,-4,-5,-3,-1,1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0640686276352333,0.0,1.0
14,32,2,-5,-4,-5,-3,0,1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0805547120412796,0.0,1.0
15,32,2,-5,-4,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.013738218113498,0.0,1.0
16,32,2,-5,-4,-4,-4,1,0,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0047191423169325,0.0,1.0
17,32,2,-5,-4,-4,-3,1,1,32,2,#,32,2,#,0,0,0,0,485,.,544,544,-0.0043578578407945,0.0,1.0
18,32,2,-5,-3,-5,-4,-1,-1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0591568734791608,0.0,1.0
19,32,2,-5,-3,-5,-4,0,-1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0313822414054214,0.0,1.0
20,32,2,-5,-3,-5,-3,-1,0,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0631764216231765,0.0,1.0
21,32,2,-5,-3,-5,-3,0,0,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0850549541510352,0.0,1.0
22,32,2,-5,-3,-5,-2,-1,1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0816268085537608,0.0,1.0
23,32,2,-5,-3,-5,-2,0,1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0783383061434001,0.0,1.0
24,32,2,-5,-3,-4,-4,1,-1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0087151143844607,0.0,1.0
25,32,2,-5,-3,-4,-3,1,0,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.0549705524791759,0.0,1.0
26,32,2,-5,-3,-4,-2,1,1,32,2,#,32,2,#,0,0,0,0,486,.,544,544,-0.052373906167715,0.0,1.0
27,32,2,-5,-2,-5,-3,-1,-1,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0274588711051274,0.0,1.0
28,32,2,-5,-2,-5,-3,0,-1,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0682955507380214,0.0,1.0
29,32,2,-5,-2,-5,-2,-1,0,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0406697060095104,0.0,1.0
30,32,2,-5,-2,-5,-2,0,0,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.075427947172362,0.0,1.0
31,32,2,-5,-2,-5,-1,-1,1,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0787713691265752,0.0,1.0
32,32,2,-5,-2,-5,-1,0,1,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0899684655068898,0.0,1.0
33,32,2,-5,-2,-4,-3,1,-1,32,2,#,32,2,#,0,0,0,0,487,.,544,544,-0.0683180275271995,0.0,1.0
