,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,1.0
0,3.0,2.0
0,4.0,4.0
0,5.0,6.0
0,6.0,7.0
0,7.0,7.0
0,8.0,11.9
0,9.0,13.063636363636364
0,10.0,14.137272727272729
0,11.0,15.176923076923078
0,12.0,15.1925
0,13.0,15.246153846153844
0,14.0,17.285714285714285
0,15.0,17.29375
0,16.0,18.513636363636365
0,17.0,18.743684210526315
0,18.0,18.92120879120879
0,19.0,20.019375
0,20.0,20.2665
0,21.0,20.2375
0,22.0,20.28025
0,23.0,20.63252795031056
0,24.0,20.62538961038961
0,25.0,20.64282406015037
0,26.0,21.89221428571429
0,27.0,21.877779220779217
0,28.0,22.20812012987013
0,29.0,22.60801098901099
0,30.0,22.598714285714287
0,31.0,22.626934880535288
0,32.0,22.637638248847928
0,33.0,23.66675874343048
0,34.0,24.684117842706552
0,35.0,24.70321771978022
0,36.0,27.636147631779984
0,37.0,27.757034412955463
0,38.0,27.83125
0,39.0,27.857098115299337
0,40.0,27.90281693136699
0,41.0,28.76669777157582
0,42.0,29.49421400989821
0,43.0,29.503774039984407
0,44.0,31.429562567021662
0,45.0,31.468283148403344
0,46.0,31.97374934395873
0,47.0,32.05803620179779
0,48.0,32.08969379483501
0,49.0,32.12381805897446
0,50.0,32.52345811130883
0,51.0,32.59048124386287
0,52.0,32.65638712869011
0,53.0,32.70151193295598
0,54.0,32.726291163725634
0,55.0,32.88920581008611
0,56.0,33.80186152936683
0,57.0,33.824342381847686
0,58.0,33.83989480044358
0,59.0,33.85665607677008
0,60.0,33.9415294883319
0,61.0,34.96897678504995
0,62.0,34.982986094705815
0,63.0,34.992512582503736
0,64.0,35.46404644280842
0,65.0,35.48031401530815
0,66.0,35.49086241975261
0,67.0,35.61187563492733
0,68.0,35.6276830076994
0,69.0,35.636827979309565
0,70.0,35.69172023556496
0,71.0,35.72025203847792
0,72.0,36.26863353550032
0,73.0,36.27892418742744
0,74.0,36.45526680419241
0,75.0,36.46689842167742
0,76.0,36.47653352553586
0,77.0,36.48599131774365
0,78.0,36.492254827141
0,79.0,36.51432476518168
0,80.0,36.51793334991993
0,81.0,36.52575644935117
0,82.0,36.53140253292834
0,83.0,36.5390748698338
0,84.0,36.777347999474
0,85.0,36.7830650875298
0,86.0,36.78920976161565
0,87.0,36.834616733635066
0,88.0,36.93019001561347
0,89.0,36.94173301844436
0,90.0,36.945944867682016
