,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,QValue,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap
0,32,2,-5,-5,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
1,32,2,-5,-5,-5,-5,-1,0,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
2,32,2,-5,-5,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
3,32,2,-5,-5,-5,-5,0,0,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
4,32,2,-5,-5,-5,-4,-1,1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
5,32,2,-5,-5,-5,-4,0,1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
6,32,2,-5,-5,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
7,32,2,-5,-5,-4,-5,1,0,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
8,32,2,-5,-5,-4,-4,1,1,32,2,#,32,2,#,0,0,0,0,0,484,.,544,544
9,32,2,-5,-4,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
10,32,2,-5,-4,-5,-5,0,-1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
11,32,2,-5,-4,-5,-4,-1,0,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
12,32,2,-5,-4,-5,-4,0,0,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
13,32,2,-5,-4,-5,-3,-1,1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
14,32,2,-5,-4,-5,-3,0,1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
15,32,2,-5,-4,-4,-5,1,-1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
16,32,2,-5,-4,-4,-4,1,0,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
17,32,2,-5,-4,-4,-3,1,1,32,2,#,32,2,#,0,0,0,0,0,485,.,544,544
18,32,2,-5,-3,-5,-4,-1,-1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
19,32,2,-5,-3,-5,-4,0,-1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
20,32,2,-5,-3,-5,-3,-1,0,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
21,32,2,-5,-3,-5,-3,0,0,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
22,32,2,-5,-3,-5,-2,-1,1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
23,32,2,-5,-3,-5,-2,0,1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
24,32,2,-5,-3,-4,-4,1,-1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
25,32,2,-5,-3,-4,-3,1,0,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
26,32,2,-5,-3,-4,-2,1,1,32,2,#,32,2,#,0,0,0,0,0,486,.,544,544
27,32,2,-5,-2,-5,-3,-1,-1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
28,32,2,-5,-2,-5,-3,0,-1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
29,32,2,-5,-2,-5,-2,-1,0,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
30,32,2,-5,-2,-5,-2,0,0,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
31,32,2,-5,-2,-5,-1,-1,1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
32,32,2,-5,-2,-5,-1,0,1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
33,32,2,-5,-2,-4,-3,1,-1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
34,32,2,-5,-2,-4,-2,1,0,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
35,32,2,-5,-2,-4,-1,1,1,32,2,#,32,2,#,0,0,0,0,0,487,.,544,544
36,32,2,-5,-1,-5,-2,-1,-1,32,2,#,32,2,#,0,0,0,0,0,488,.,544,544
37,32,2,-5,-1,-5,-2,0,-1,32,2,#,32,2,#,0,0,0,0,0,488,.,544,544
38,32,2,-5,-1,-5,-1,-1,0,32,2,#,32,2,#,0,0,0,0,0,488,.,544,544
