,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,20,11,S,-5,-5,0,-0.0038750742714719674
1,20,11,S,-5,-4,1,-0.002187653922807639
2,20,11,S,-5,-3,2,-0.0022800430757141344
3,20,11,S,-5,-2,3,-0.0006426919982815207
4,20,11,S,-5,-1,4,-0.0013062396102212631
5,20,11,S,-5,0,5,-0.0031665092318701894
6,20,11,S,-5,1,6,-0.0008789740279598352
7,20,11,S,-5,2,7,-0.0016947280794397477
8,20,11,S,-5,3,8,-0.00037337199533328015
9,20,11,S,-5,4,9,-0.0006077388089725574
10,20,11,S,-5,5,10,-0.0002356648228435173
11,20,11,S,-4,-5,11,-0.0007531333922770733
12,20,11,S,-4,-4,12,-0.000379546194433384
13,20,11,S,-4,-3,13,-0.0002894301786113048
14,20,11,S,-4,-2,14,-0.0011972041854157352
15,20,11,S,-4,-1,15,-0.0013161179130751627
16,20,11,S,-4,0,16,-0.002021288707811146
17,20,11,S,-4,1,17,-0.0003276249400389272
18,20,11,S,-4,2,18,-0.0032054886812370783
19,20,11,S,-4,3,19,-0.0007222841575204274
20,20,11,S,-4,4,20,-0.0007137032202985828
21,20,11,S,-4,5,21,-0.0029137362799210344
22,20,11,S,-3,-5,22,-0.0008998492830175949
23,20,11,S,-3,-4,23,-0.00011140456148222254
24,20,11,S,-3,-3,24,-8.041175253338181e-05
25,20,11,S,-3,-2,25,-0.0001888361749090156
26,20,11,S,-3,-1,26,-0.0025238094608301606
27,20,11,S,-3,0,27,-0.00540782513166721
28,20,11,S,-3,1,28,-0.003590881645945606
29,20,11,S,-3,2,29,-0.0024675460041721957
30,20,11,S,-3,3,30,-0.0011022787442762222
31,20,11,S,-3,4,31,-0.005843095861707717
32,20,11,S,-3,5,32,-0.0012571022998180675
33,20,11,S,-2,-5,33,-0.0004591349034676114
34,20,11,S,-2,-4,34,-0.0007765000870036173
35,20,11,S,-2,-3,35,-12.911455301010092
36,20,11,S,-2,-2,36,-14.36828045609725
37,20,11,S,-2,-1,37,-15.131205403935114
38,20,11,S,-2,0,38,-15.88565733158634
39,20,11,S,-2,1,39,-0.0037958453765605154
40,20,11,S,-2,2,40,-0.003938407685912752
41,20,11,S,-2,3,41,-0.0035565406942533895
42,20,11,S,-2,4,42,-0.0010513775567063104
43,20,11,S,-2,5,43,-0.0011320640881839848
44,20,11,S,-1,-5,44,-0.0002032950304468959
45,20,11,S,-1,-4,45,-3.944122862792912
46,20,11,S,-1,-3,46,-13.287990218967627
47,20,11,S,-1,-2,47,-14.178704909555412
48,20,11,S,-1,-1,48,-14.582219373343095
49,20,11,S,-1,0,49,-15.181576500525832
50,20,11,S,-1,1,50,-0.0008606496242104644
51,20,11,S,-1,2,51,-0.002677503679606015
52,20,11,S,-1,3,52,-0.0001039159807884691
53,20,11,S,-1,4,53,-0.0008305396983403716
54,20,11,S,-1,5,54,-0.002438492751393093
55,20,11,S,0,-5,55,-0.0019416698290595953
56,20,11,S,0,-4,56,-0.008399344371369272
57,20,11,S,0,-3,57,-13.759657454632944
58,20,11,S,0,-2,58,-14.563492081774395
59,20,11,S,0,-1,59,-16.58900079853352
60,20,11,S,0,0,60,-15.561613526150163
61,20,11,S,0,1,61,-0.001618963686286664
62,20,11,S,0,2,62,-0.0003272331384301559
63,20,11,S,0,3,63,-0.0006158515450835848
64,20,11,S,0,4,64,-0.000573529214097479
65,20,11,S,0,5,65,-0.0009311124923076022
66,20,11,S,1,-5,66,-0.0014447345357971719
67,20,11,S,1,-4,67,-0.00022737491259403747
68,20,11,S,1,-3,68,-0.0007632949762953218
69,20,11,S,1,-2,69,-0.0009229544576975727
70,20,11,S,1,-1,70,-9.794085873328015e-05
71,20,11,S,1,0,71,-0.00046151065228062366
72,20,11,S,1,1,72,-0.001015108384874475
73,20,11,S,1,2,73,-0.0006981359353112476
74,20,11,S,1,3,74,-0.001687248363715376
75,20,11,S,1,4,75,-0.0009820080652320103
76,20,11,S,1,5,76,-0.002515020157663135
77,20,11,S,2,-5,77,-0.0008043105259732397
78,20,11,S,2,-4,78,-0.002414739271444518
79,20,11,S,2,-3,79,-5.957298699480092e-05
80,20,11,S,2,-2,80,-0.0014790020658006098
81,20,11,S,2,-1,81,-9.847388783246376e-05
82,20,11,S,2,0,82,-0.00014516293362802982
83,20,11,S,2,1,83,-7.996301297028517e-05
84,20,11,S,2,2,84,-0.0020096706280575
85,20,11,S,2,3,85,-0.0012210008645504727
86,20,11,S,2,4,86,-1.0786004667860324e-05
87,20,11,S,2,5,87,-0.0018880086474867813
88,20,11,S,3,-5,88,-0.000761621086490246
89,20,11,S,3,-4,89,-0.0011918313434650801
90,20,11,S,3,-3,90,-0.0007094200009822079
91,20,11,S,3,-2,91,-0.001169390122447286
92,20,11,S,3,-1,92,-0.0002018110909599198
93,20,11,S,3,0,93,-0.000908117254403238
94,20,11,S,3,1,94,-0.0002847602052625988
95,20,11,S,3,2,95,-0.00012342444069776692
96,20,11,S,3,3,96,-0.0013940312953286543
97,20,11,S,3,4,97,-0.00027453446915011274
98,20,11,S,3,5,98,-7.761600674372621e-05
99,20,11,S,4,-5,99,-0.0024441955467055876
100,20,11,S,4,-4,100,-0.0037688344315211578
101,20,11,S,4,-3,101,-2.1135931901783422e-05
102,20,11,S,4,-2,102,-0.0016272611594409306
103,20,11,S,4,-1,103,-0.0016414748861643888
104,20,11,S,4,0,104,-0.0018632176435236167
105,20,11,S,4,1,105,-0.000898821570376393
106,20,11,S,4,2,106,-6.912584086425991e-05
107,20,11,S,4,3,107,-0.0012123818422914226
108,20,11,S,4,4,108,-0.0016777793964597425
109,20,11,S,4,5,109,-0.0013070816832369998
110,20,11,S,5,-5,110,-0.0012508706939282754
111,20,11,S,5,-4,111,-0.00012878819169291275
112,20,11,S,5,-3,112,-0.001038732251024339
113,20,11,S,5,-2,113,-0.0020875687105303166
114,20,11,S,5,-1,114,-0.0012751283399861195
115,20,11,S,5,0,115,-8.636940250728031e-05
116,20,11,S,5,1,116,-0.000567387171947981
117,20,11,S,5,2,117,-0.0002611333170251303
118,20,11,S,5,3,118,-2.5048314092730728e-05
119,20,11,S,5,4,119,-0.00045523327462963954
120,20,11,S,5,5,120,-0.0011944937154861543
121,21,11,S,-5,-5,121,-0.0019303648606387794
122,21,11,S,-5,-4,122,-0.0018895496125608813
123,21,11,S,-5,-3,123,-0.0003455974232406678
124,21,11,S,-5,-2,124,-0.0011927086248331945
125,21,11,S,-5,-1,125,-0.0011594996313979786
126,21,11,S,-5,0,126,-0.0005059182935130743
127,21,11,S,-5,1,127,-0.0019718014459456593
128,21,11,S,-5,2,128,-0.001615498449140735
129,21,11,S,-5,3,129,-0.0024927988481973163
130,21,11,S,-5,4,130,-0.0006060751439082232
131,21,11,S,-5,5,131,-0.0017896141506337972
132,21,11,S,-4,-5,132,-0.0021550261371518983
133,21,11,S,-4,-4,133,-0.0002961035091875123
134,21,11,S,-4,-3,134,-0.0037817487384188588
135,21,11,S,-4,-2,135,-0.002553736123675012
136,21,11,S,-4,-1,136,-0.0017668670742689453
137,21,11,S,-4,0,137,-0.0010855640604344099
138,21,11,S,-4,1,138,-0.0029475655160838632
139,21,11,S,-4,2,139,-0.0004098028133482541
140,21,11,S,-4,3,140,-0.0018130021777120857
141,21,11,S,-4,4,141,-0.0020215030794055264
142,21,11,S,-4,5,142,-0.00038677695696949857
143,21,11,S,-3,-5,143,-0.0010930785685843575
144,21,11,S,-3,-4,144,-0.004751338182343165
145,21,11,S,-3,-3,145,-0.0003098932052956523
146,21,11,S,-3,-2,146,-0.0029065646275602906
147,21,11,S,-3,-1,147,-0.0008118783462440875
148,21,11,S,-3,0,148,-0.0011779506263410802
149,21,11,S,-3,1,149,-0.0029918330478751285
150,21,11,S,-3,2,150,-0.0038946621525896693
151,21,11,S,-3,3,151,-0.0009470689398082491
152,21,11,S,-3,4,152,-0.00029336687320384233
153,21,11,S,-3,5,153,-0.001767588723423091
154,21,11,S,-2,-5,154,-0.00010962621407388518
155,21,11,S,-2,-4,155,-0.0008188933465201227
156,21,11,S,-2,-3,156,-0.0018508275705866831
157,21,11,S,-2,-2,157,-0.0023833028598159176
158,21,11,S,-2,-1,158,-0.0014566243337094022
159,21,11,S,-2,0,159,-0.00878194725742152
160,21,11,S,-2,1,160,-0.0014124791357645987
161,21,11,S,-2,2,161,-0.0006667294959324162
162,21,11,S,-2,3,162,-0.00010094783204266967
163,21,11,S,-2,4,163,-0.00013618569673789875
164,21,11,S,-2,5,164,-0.002468877555550748
165,21,11,S,-1,-5,165,-0.0010955623657342515
166,21,11,S,-1,-4,166,-0.0008869684610834806
167,21,11,S,-1,-3,167,-13.60790679048736
168,21,11,S,-1,-2,168,-15.22044897741899
169,21,11,S,-1,-1,169,-16.123932494620327
170,21,11,S,-1,0,170,-15.833610621108145
