,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,32,1,F,-5,-5,0,0
1,32,1,F,-5,-4,1,0
2,32,1,F,-5,-3,2,0
3,32,1,F,-5,-2,3,0
4,32,1,F,-5,-1,4,0
5,32,1,F,-5,0,5,0
6,32,1,F,-5,1,6,0
7,32,1,F,-5,2,7,0
8,32,1,F,-5,3,8,0
9,32,1,F,-5,4,9,0
10,32,1,F,-5,5,10,0
11,32,1,F,-4,-5,11,0
12,32,1,F,-4,-4,12,0
13,32,1,F,-4,-3,13,0
14,32,1,F,-4,-2,14,0
15,32,1,F,-4,-1,15,0
16,32,1,F,-4,0,16,0
17,32,1,F,-4,1,17,0
18,32,1,F,-4,2,18,0
19,32,1,F,-4,3,19,0
20,32,1,F,-4,4,20,0
21,32,1,F,-4,5,21,0
22,32,1,F,-3,-5,22,0
23,32,1,F,-3,-4,23,0
24,32,1,F,-3,-3,24,0
25,32,1,F,-3,-2,25,0
26,32,1,F,-3,-1,26,0
27,32,1,F,-3,0,27,0
28,32,1,F,-3,1,28,0
29,32,1,F,-3,2,29,0
30,32,1,F,-3,3,30,0
31,32,1,F,-3,4,31,0
32,32,1,F,-3,5,32,0
33,32,1,F,-2,-5,33,0
34,32,1,F,-2,-4,34,0
35,32,1,F,-2,-3,35,0
36,32,1,F,-2,-2,36,0
37,32,1,F,-2,-1,37,0
38,32,1,F,-2,0,38,0
39,32,1,F,-2,1,39,0
40,32,1,F,-2,2,40,0
41,32,1,F,-2,3,41,0
42,32,1,F,-2,4,42,0
43,32,1,F,-2,5,43,0
44,32,1,F,-1,-5,44,0
45,32,1,F,-1,-4,45,0
46,32,1,F,-1,-3,46,0
47,32,1,F,-1,-2,47,0
48,32,1,F,-1,-1,48,0
49,32,1,F,-1,0,49,0
50,32,1,F,-1,1,50,0
51,32,1,F,-1,2,51,0
52,32,1,F,-1,3,52,0
53,32,1,F,-1,4,53,0
54,32,1,F,-1,5,54,0
55,32,1,F,0,-5,55,0
56,32,1,F,0,-4,56,0
57,32,1,F,0,-3,57,0
58,32,1,F,0,-2,58,0
59,32,1,F,0,-1,59,0
60,32,1,F,0,0,60,0
61,32,1,F,0,1,61,0
62,32,1,F,0,2,62,0
63,32,1,F,0,3,63,0
64,32,1,F,0,4,64,0
65,32,1,F,0,5,65,0
66,32,1,F,1,-5,66,0
67,32,1,F,1,-4,67,0
68,32,1,F,1,-3,68,0
69,32,1,F,1,-2,69,0
70,32,1,F,1,-1,70,0
71,32,1,F,1,0,71,0
72,32,1,F,1,1,72,0
73,32,1,F,1,2,73,0
74,32,1,F,1,3,74,0
75,32,1,F,1,4,75,0
76,32,1,F,1,5,76,0
77,32,1,F,2,-5,77,0
78,32,1,F,2,-4,78,0
79,32,1,F,2,-3,79,0
80,32,1,F,2,-2,80,0
81,32,1,F,2,-1,81,0
82,32,1,F,2,0,82,0
83,32,1,F,2,1,83,0
84,32,1,F,2,2,84,0
85,32,1,F,2,3,85,0
86,32,1,F,2,4,86,0
87,32,1,F,2,5,87,0
88,32,1,F,3,-5,88,0
89,32,1,F,3,-4,89,0
90,32,1,F,3,-3,90,0
91,32,1,F,3,-2,91,0
92,32,1,F,3,-1,92,0
93,32,1,F,3,0,93,0
94,32,1,F,3,1,94,0
95,32,1,F,3,2,95,0
96,32,1,F,3,3,96,0
97,32,1,F,3,4,97,0
98,32,1,F,3,5,98,0
99,32,1,F,4,-5,99,0
100,32,1,F,4,-4,100,0
101,32,1,F,4,-3,101,0
102,32,1,F,4,-2,102,0
103,32,1,F,4,-1,103,0
104,32,1,F,4,0,104,0
105,32,1,F,4,1,105,0
106,32,1,F,4,2,106,0
107,32,1,F,4,3,107,0
108,32,1,F,4,4,108,0
109,32,1,F,4,5,109,0
110,32,1,F,5,-5,110,0
111,32,1,F,5,-4,111,0
112,32,1,F,5,-3,112,0
113,32,1,F,5,-2,113,0
114,32,1,F,5,-1,114,0
115,32,1,F,5,0,115,0
116,32,1,F,5,1,116,0
117,32,1,F,5,2,117,0
118,32,1,F,5,3,118,0
119,32,1,F,5,4,119,0
120,32,1,F,5,5,120,0
121,33,1,F,-5,-5,121,0
122,33,1,F,-5,-4,122,0
123,33,1,F,-5,-3,123,0
124,33,1,F,-5,-2,124,0
125,33,1,F,-5,-1,125,0
126,33,1,F,-5,0,126,0
127,33,1,F,-5,1,127,0
128,33,1,F,-5,2,128,0
129,33,1,F,-5,3,129,0
130,33,1,F,-5,4,130,0
131,33,1,F,-5,5,131,0
132,33,1,F,-4,-5,132,0
133,33,1,F,-4,-4,133,0
134,33,1,F,-4,-3,134,0
135,33,1,F,-4,-2,135,0
136,33,1,F,-4,-1,136,0
137,33,1,F,-4,0,137,0
138,33,1,F,-4,1,138,0
139,33,1,F,-4,2,139,0
140,33,1,F,-4,3,140,0
141,33,1,F,-4,4,141,0
142,33,1,F,-4,5,142,0
143,33,1,F,-3,-5,143,0
144,33,1,F,-3,-4,144,0
145,33,1,F,-3,-3,145,0
146,33,1,F,-3,-2,146,0
147,33,1,F,-3,-1,147,0
148,33,1,F,-3,0,148,0
149,33,1,F,-3,1,149,0
150,33,1,F,-3,2,150,0
151,33,1,F,-3,3,151,0
152,33,1,F,-3,4,152,0
153,33,1,F,-3,5,153,0
154,33,1,F,-2,-5,154,0
155,33,1,F,-2,-4,155,0
156,33,1,F,-2,-3,156,0
157,33,1,F,-2,-2,157,0
158,33,1,F,-2,-1,158,0
159,33,1,F,-2,0,159,0
160,33,1,F,-2,1,160,0
161,33,1,F,-2,2,161,0
162,33,1,F,-2,3,162,0
163,33,1,F,-2,4,163,0
164,33,1,F,-2,5,164,0
165,33,1,F,-1,-5,165,0
166,33,1,F,-1,-4,166,0
167,33,1,F,-1,-3,167,0
168,33,1,F,-1,-2,168,0
169,33,1,F,-1,-1,169,0
170,33,1,F,-1,0,170,0
171,33,1,F,-1,1,171,0
172,33,1,F,-1,2,172,0
173,33,1,F,-1,3,173,0
174,33,1,F,-1,4,174,0
175,33,1,F,-1,5,175,0
176,33,1,F,0,-5,176,0
177,33,1,F,0,-4,177,0
178,33,1,F,0,-3,178,0
179,33,1,F,0,-2,179,0
180,33,1,F,0,-1,180,0
181,33,1,F,0,0,181,0
182,33,1,F,0,1,182,0
183,33,1,F,0,2,183,0
184,33,1,F,0,3,184,0
185,33,1,F,0,4,185,0
186,33,1,F,0,5,186,0
187,33,1,F,1,-5,187,0
188,33,1,F,1,-4,188,0
189,33,1,F,1,-3,189,0
190,33,1,F,1,-2,190,0
191,33,1,F,1,-1,191,0
192,33,1,F,1,0,192,0
193,33,1,F,1,1,193,0
194,33,1,F,1,2,194,0
195,33,1,F,1,3,195,0
196,33,1,F,1,4,196,0
197,33,1,F,1,5,197,0
198,33,1,F,2,-5,198,0
199,33,1,F,2,-4,199,0
200,33,1,F,2,-3,200,0
201,33,1,F,2,-2,201,0
202,33,1,F,2,-1,202,0
203,33,1,F,2,0,203,0
204,33,1,F,2,1,204,0
205,33,1,F,2,2,205,0
206,33,1,F,2,3,206,0
207,33,1,F,2,4,207,0
208,33,1,F,2,5,208,0
209,33,1,F,3,-5,209,0
210,33,1,F,3,-4,210,0
211,33,1,F,3,-3,211,0
212,33,1,F,3,-2,212,0
213,33,1,F,3,-1,213,0
214,33,1,F,3,0,214,0
215,33,1,F,3,1,215,0
216,33,1,F,3,2,216,0
217,33,1,F,3,3,217,0
218,33,1,F,3,4,218,0
219,33,1,F,3,5,219,0
220,33,1,F,4,-5,220,0
221,33,1,F,4,-4,221,0
222,33,1,F,4,-3,222,0
223,33,1,F,4,-2,223,0
224,33,1,F,4,-1,224,0
225,33,1,F,4,0,225,0
226,33,1,F,4,1,226,0
227,33,1,F,4,2,227,0
228,33,1,F,4,3,228,0
229,33,1,F,4,4,229,0
230,33,1,F,4,5,230,0
231,33,1,F,5,-5,231,0
232,33,1,F,5,-4,232,0
233,33,1,F,5,-3,233,0
234,33,1,F,5,-2,234,0
235,33,1,F,5,-1,235,0
236,33,1,F,5,0,236,0
237,33,1,F,5,1,237,0
238,33,1,F,5,2,238,0
239,33,1,F,5,3,239,0
240,33,1,F,5,4,240,0
241,33,1,F,5,5,241,0
242,34,1,F,-5,-5,242,0
243,34,1,F,-5,-4,243,0
244,34,1,F,-5,-3,244,0
245,34,1,F,-5,-2,245,0
246,34,1,F,-5,-1,246,0
247,34,1,F,-5,0,247,0
248,34,1,F,-5,1,248,0
249,34,1,F,-5,2,249,0
250,34,1,F,-5,3,250,0
