,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,20,5,S,-5,-5,0,-0.0013385365250586992
1,20,5,S,-5,-4,1,-0.0006151566396248656
2,20,5,S,-5,-3,2,-0.0003961821240319966
3,20,5,S,-5,-2,3,-0.0006358938314677265
4,20,5,S,-5,-1,4,-0.002354647570741106
5,20,5,S,-5,0,5,-0.00037820111890310947
6,20,5,S,-5,1,6,-0.00039419576510574435
7,20,5,S,-5,2,7,-0.005545799941876654
8,20,5,S,-5,3,8,-0.0008053646714742489
9,20,5,S,-5,4,9,-0.00018318881908770124
10,20,5,S,-5,5,10,-0.0008115273810406325
11,20,5,S,-4,-5,11,-3.538441636674258e-05
12,20,5,S,-4,-4,12,-0.0005586443348044763
13,20,5,S,-4,-3,13,-0.00031129131427829956
14,20,5,S,-4,-2,14,-0.0025715607219763507
15,20,5,S,-4,-1,15,-5.044638547112984e-05
16,20,5,S,-4,0,16,-0.003416836270211876
17,20,5,S,-4,1,17,-0.005130445107211699
18,20,5,S,-4,2,18,-0.00033839305971958104
19,20,5,S,-4,3,19,-0.0015887651671082584
20,20,5,S,-4,4,20,-0.004380908457231278
21,20,5,S,-4,5,21,-0.0008705350285380595
22,20,5,S,-3,-5,22,-0.002783634958807505
23,20,5,S,-3,-4,23,-0.00019800449726095105
24,20,5,S,-3,-3,24,-0.0002690976223286949
25,20,5,S,-3,-2,25,-0.0023207446895218446
26,20,5,S,-3,-1,26,-0.0002239262345032078
27,20,5,S,-3,0,27,-3.9430538101744608
28,20,5,S,-3,1,28,-0.0010847157006108176
29,20,5,S,-3,2,29,-0.0014008392647721305
30,20,5,S,-3,3,30,-0.0020178791626029556
31,20,5,S,-3,4,31,-0.002275755167710396
32,20,5,S,-3,5,32,-0.0044452094015477025
33,20,5,S,-2,-5,33,-0.0030616833272552827
34,20,5,S,-2,-4,34,-8.560871668186902
35,20,5,S,-2,-3,35,-10.42372911119067
36,20,5,S,-2,-2,36,-10.970250276853776
37,20,5,S,-2,-1,37,-9.436570040186288
38,20,5,S,-2,0,38,-10.434904307733389
39,20,5,S,-2,1,39,-2.1212336507535e-05
40,20,5,S,-2,2,40,-0.0015426765885543404
41,20,5,S,-2,3,41,-0.0007914100889811967
42,20,5,S,-2,4,42,-0.0021446533501281086
43,20,5,S,-2,5,43,-0.0015443156289303862
44,20,5,S,-1,-5,44,-10.468592596097867
45,20,5,S,-1,-4,45,-9.819058518178702
46,20,5,S,-1,-3,46,-10.962565115330674
47,20,5,S,-1,-2,47,-10.483572709090733
48,20,5,S,-1,-1,48,-10.49003892777199
49,20,5,S,-1,0,49,-11.07603292421975
50,20,5,S,-1,1,50,-0.0011070387807637812
51,20,5,S,-1,2,51,-0.0010617923238565013
52,20,5,S,-1,3,52,-0.00043174259761074793
53,20,5,S,-1,4,53,-3.0005165407086948e-05
54,20,5,S,-1,5,54,-0.0009890968026576262
55,20,5,S,0,-5,55,-10.411811057670977
56,20,5,S,0,-4,56,-9.472975245521944
57,20,5,S,0,-3,57,-10.642931614916028
58,20,5,S,0,-2,58,-10.254436751669068
59,20,5,S,0,-1,59,-10.36880266571063
60,20,5,S,0,0,60,-10.717646759746135
61,20,5,S,0,1,61,-0.0023151538449888943
62,20,5,S,0,2,62,-0.0024184033952783382
63,20,5,S,0,3,63,-0.000922159841784188
64,20,5,S,0,4,64,-0.0018760636420506495
65,20,5,S,0,5,65,-0.0028131704894510294
66,20,5,S,1,-5,66,-6.0825563426486484e-05
67,20,5,S,1,-4,67,-0.002232178574913179
68,20,5,S,1,-3,68,-0.00029131270875205374
69,20,5,S,1,-2,69,-0.00021365611493233058
70,20,5,S,1,-1,70,-0.0009775778601628527
71,20,5,S,1,0,71,-0.000809023291755577
72,20,5,S,1,1,72,-0.002231429453525672
73,20,5,S,1,2,73,-0.0005357186023657104
74,20,5,S,1,3,74,-0.0036074705664584875
75,20,5,S,1,4,75,-0.002152331789265792
76,20,5,S,1,5,76,-0.002779865408476632
77,20,5,S,2,-5,77,-0.00028853352487168485
78,20,5,S,2,-4,78,-0.004715067260621291
79,20,5,S,2,-3,79,-0.00028870644878529333
80,20,5,S,2,-2,80,-0.002246788655433509
81,20,5,S,2,-1,81,-0.0018608753676238304
82,20,5,S,2,0,82,-1.704121416996364e-05
83,20,5,S,2,1,83,-0.00011951225415983424
84,20,5,S,2,2,84,-0.0007483100256943671
85,20,5,S,2,3,85,-0.0010081800937480588
86,20,5,S,2,4,86,-0.0009379137917817377
87,20,5,S,2,5,87,-0.0009263161087630697
88,20,5,S,3,-5,88,-0.0006601928825053418
89,20,5,S,3,-4,89,-0.0009001403300645701
90,20,5,S,3,-3,90,-0.0013823539529807423
91,20,5,S,3,-2,91,-0.003247077819275579
92,20,5,S,3,-1,92,-0.0013897366495618547
93,20,5,S,3,0,93,-0.002163460023239994
94,20,5,S,3,1,94,-0.004541768357081303
95,20,5,S,3,2,95,-0.0041003831907643045
96,20,5,S,3,3,96,-0.002727750830728035
97,20,5,S,3,4,97,-0.0004617521926600209
98,20,5,S,3,5,98,-0.000911459204520083
99,20,5,S,4,-5,99,-0.0018057417017074348
100,20,5,S,4,-4,100,-0.0008422590919378511
101,20,5,S,4,-3,101,-0.0006520888966492274
102,20,5,S,4,-2,102,-6.328487173929906e-05
103,20,5,S,4,-1,103,-0.003738990236661505
104,20,5,S,4,0,104,-0.0010391877988051145
105,20,5,S,4,1,105,-0.000452570699255795
106,20,5,S,4,2,106,-0.00014771601630997333
107,20,5,S,4,3,107,-0.003240948487692301
108,20,5,S,4,4,108,-0.0003236949890173743
109,20,5,S,4,5,109,-6.802723202326347e-06
110,20,5,S,5,-5,110,-0.0018099150502782126
111,20,5,S,5,-4,111,-0.0013401272813420677
112,20,5,S,5,-3,112,-0.00027732458356218535
113,20,5,S,5,-2,113,-0.0019443326133410307
114,20,5,S,5,-1,114,-0.001284066456588781
115,20,5,S,5,0,115,-0.0009172261131297661
116,20,5,S,5,1,116,-0.0020496488665094313
117,20,5,S,5,2,117,-0.0002040563398732001
118,20,5,S,5,3,118,-0.0015736591445326704
119,20,5,S,5,4,119,-0.0001161276724639549
120,20,5,S,5,5,120,-0.0006058106977050153
121,21,5,S,-5,-5,121,-0.0002470120664773718
122,21,5,S,-5,-4,122,-7.3483647723048e-05
123,21,5,S,-5,-3,123,-0.0004839163099431207
124,21,5,S,-5,-2,124,-0.001712132051504547
125,21,5,S,-5,-1,125,-0.0005183909318008332
126,21,5,S,-5,0,126,-0.0006372475968100932
127,21,5,S,-5,1,127,-0.0003245034648993988
128,21,5,S,-5,2,128,-0.0006484520912917804
129,21,5,S,-5,3,129,-0.0005129330093204092
130,21,5,S,-5,4,130,-0.0010873849058780846
131,21,5,S,-5,5,131,-0.0001746714027370394
132,21,5,S,-4,-5,132,-0.00112855533687169
133,21,5,S,-4,-4,133,-0.00018889483255450472
134,21,5,S,-4,-3,134,-0.006058227487993695
135,21,5,S,-4,-2,135,-0.003527455175050173
136,21,5,S,-4,-1,136,-0.002517107346117765
137,21,5,S,-4,0,137,-0.0005705356459652904
138,21,5,S,-4,1,138,-0.0011151557679026855
139,21,5,S,-4,2,139,-0.0007682559746892449
140,21,5,S,-4,3,140,-0.0011570841602750286
141,21,5,S,-4,4,141,-0.00025063922387469177
142,21,5,S,-4,5,142,-0.0014264904950477744
143,21,5,S,-3,-5,143,-9.442183945818604e-05
144,21,5,S,-3,-4,144,-0.0013307031204991097
145,21,5,S,-3,-3,145,-0.003420379452664102
146,21,5,S,-3,-2,146,-0.0016219515314711622
147,21,5,S,-3,-1,147,-0.000979433644077132
148,21,5,S,-3,0,148,-0.0010064482165239412
149,21,5,S,-3,1,149,-0.00026472958238502563
150,21,5,S,-3,2,150,-0.0010753024531215735
151,21,5,S,-3,3,151,-0.0011256468428153948
152,21,5,S,-3,4,152,-8.412880059617024e-05
153,21,5,S,-3,5,153,-6.618924678982764e-05
154,21,5,S,-2,-5,154,-0.0022254204151085
155,21,5,S,-2,-4,155,-0.0002912184767865436
156,21,5,S,-2,-3,156,-0.002348318340144653
157,21,5,S,-2,-2,157,-0.0009018074441455807
158,21,5,S,-2,-1,158,-0.004746206984992019
159,21,5,S,-2,0,159,-0.0007799146949175207
160,21,5,S,-2,1,160,-0.003723092616617304
161,21,5,S,-2,2,161,-0.0005483351001315338
162,21,5,S,-2,3,162,-0.002281962704573973
163,21,5,S,-2,4,163,-0.0009420698302785458
164,21,5,S,-2,5,164,-0.0001463437799970376
165,21,5,S,-1,-5,165,-10.006630157931415
166,21,5,S,-1,-4,166,-9.534012505658422
167,21,5,S,-1,-3,167,-10.543124172173702
168,21,5,S,-1,-2,168,-10.618741817761862
169,21,5,S,-1,-1,169,-10.452550873238579
170,21,5,S,-1,0,170,-11.115108985302001
171,21,5,S,-1,1,171,-7.81019745684456e-05
172,21,5,S,-1,2,172,-0.002512242461418834
173,21,5,S,-1,3,173,-0.00045262958098483963
174,21,5,S,-1,4,174,-0.00033446027059011625
175,21,5,S,-1,5,175,-0.002208218499025252
176,21,5,S,0,-5,176,-5.854437522524252
177,21,5,S,0,-4,177,-11.266128344301151
178,21,5,S,0,-3,178,-10.415839699839838
179,21,5,S,0,-2,179,-10.390072054605056
180,21,5,S,0,-1,180,-10.34024585465435
181,21,5,S,0,0,181,-10.832734202322554
182,21,5,S,0,1,182,-0.001365032073903514
183,21,5,S,0,2,183,-0.007732314382026236
184,21,5,S,0,3,184,-0.00013016058385077224
185,21,5,S,0,4,185,-0.0003543065966871758
186,21,5,S,0,5,186,-0.0015804032301522265
187,21,5,S,1,-5,187,-0.000811921738159636
188,21,5,S,1,-4,188,-5.855627111063996
189,21,5,S,1,-3,189,-11.110912080382205
190,21,5,S,1,-2,190,-9.354826415430175
191,21,5,S,1,-1,191,-10.607423070284266
192,21,5,S,1,0,192,-10.495701083457893
193,21,5,S,1,1,193,-0.0008979182619735619
194,21,5,S,1,2,194,-0.0005547424700917056
195,21,5,S,1,3,195,-0.00035952294048349244
196,21,5,S,1,4,196,-0.001674515922799956
197,21,5,S,1,5,197,-0.0003796573731574028
198,21,5,S,2,-5,198,-0.0004083221255384503
199,21,5,S,2,-4,199,-0.0012667325463330877
200,21,5,S,2,-3,200,-0.0013595293070302536
