,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,48.884006156480126
0,3.0,79.75044534044054
0,4.0,91.671402265863
0,5.0,110.51241072727964
0,6.0,122.29495120233076
0,7.0,135.22779656051836
0,8.0,140.38058692144847
0,9.0,151.24845090701902
0,10.0,156.13939283980616
0,11.0,164.03492850135126
0,12.0,174.02071123223766
0,13.0,175.0439654372156
0,14.0,188.83883771193723
0,15.0,191.78741365822447
0,16.0,195.69019115091248
0,17.0,208.6285267786089
0,18.0,217.08368801811784
0,19.0,223.32137037207823
0,20.0,240.15846612332595
0,21.0,245.7258413271665
0,22.0,246.6903629120132
0,23.0,265.87816964297645
0,24.0,269.90939195917065
0,25.0,272.9935162993131
0,26.0,278.00160996484664
0,27.0,284.0699756096217
0,28.0,294.09040444297216
0,29.0,302.87659312062044
0,30.0,309.5988387330049
0,31.0,313.7052816563946
0,32.0,315.8003432992972
0,33.0,325.5553712071369
0,34.0,332.61966148908493
0,35.0,340.6715564866616
0,36.0,343.6268442860728
0,37.0,347.4093340912715
0,38.0,356.0814285522669
0,39.0,361.9435280256848
0,40.0,366.0489328895634
0,41.0,368.981729274528
0,42.0,372.0532231660456
0,43.0,374.04818050132855
0,44.0,377.7970762191191
0,45.0,379.7331293972951
0,46.0,380.8885560464671
0,47.0,385.9607904436674
0,48.0,388.87679866938265
0,49.0,392.86736453263006
0,50.0,394.7875065516852
0,51.0,409.8048758337175
0,52.0,412.8610149126433
0,53.0,417.437185428644
0,54.0,421.5473127282654
0,55.0,423.5855136126813
0,56.0,429.41284953524655
0,57.0,433.3689977167327
0,58.0,436.7690576823443
0,59.0,438.84770182191295
0,60.0,440.1633266458047
0,61.0,445.295753314561
0,62.0,452.2931754885744
0,63.0,456.2662657039259
0,64.0,456.2662681844282
0,65.0,460.33312929440217
0,66.0,463.2441115350892
0,67.0,463.31568984590814
0,68.0,470.0958240535239
0,69.0,474.22232450003344
0,70.0,479.21019600674936
0,71.0,484.21792694050407
0,72.0,485.17228074120266
0,73.0,486.2537207366967
0,74.0,487.3746953385681
0,75.0,488.376301750204
0,76.0,489.37214983279847
0,77.0,494.2704584150128
0,78.0,498.6447198701524
0,79.0,504.8591460947118
0,80.0,504.86562011159873
0,81.0,504.8900815133425
0,82.0,506.85327603946126
0,83.0,511.85104915325496
0,84.0,512.9055790147825
0,85.0,516.8634161969633
0,86.0,519.8624145739348
