,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,11,1,.,-5,-5,0,-0.0010058062039961
1,11,1,.,-5,-4,1,-0.0011020042463094
2,11,1,.,-5,-3,2,-0.002777866214618
3,11,1,.,-5,-2,3,-0.0013818055103425
4,11,1,.,-5,-1,4,-0.0001580457417036
5,11,1,.,-5,0,5,-0.001276288890258
6,11,1,.,-5,1,6,-1.343449693645693e-05
7,11,1,.,-5,2,7,-0.0010043239685944
8,11,1,.,-5,3,8,-0.0006206675257694
9,11,1,.,-5,4,9,-0.0021150979369744
10,11,1,.,-5,5,10,-0.0005708822557176
11,11,1,.,-4,-5,11,-0.0001099096883801
12,11,1,.,-4,-4,12,-0.0011128944014442
13,11,1,.,-4,-3,13,-0.0015705058968272
14,11,1,.,-4,-2,14,-0.000801157519634
15,11,1,.,-4,-1,15,-0.0009621048843527
16,11,1,.,-4,0,16,-0.003512122589991
17,11,1,.,-4,1,17,-0.0026313191243463
18,11,1,.,-4,2,18,-0.000412107595145
19,11,1,.,-4,3,19,-0.0011637707209229
20,11,1,.,-4,4,20,-9.544883979167862e-06
21,11,1,.,-4,5,21,-0.0007438416386498
22,11,1,.,-3,-5,22,-0.0014148069734614
23,11,1,.,-3,-4,23,-0.0004834814831474
24,11,1,.,-3,-3,24,-0.002264913960874
25,11,1,.,-3,-2,25,-0.0001527389439365
26,11,1,.,-3,-1,26,-4.857993532279489e-05
27,11,1,.,-3,0,27,-0.0022474878904392
28,11,1,.,-3,1,28,-0.0001751420826156
29,11,1,.,-3,2,29,-0.000844881868816
30,11,1,.,-3,3,30,-0.0011714141110068
31,11,1,.,-3,4,31,-0.0007434307917559
32,11,1,.,-3,5,32,-0.0004003803846467
33,11,1,.,-2,-5,33,-0.0009370823067628
34,11,1,.,-2,-4,34,-0.0004169349435662
35,11,1,.,-2,-3,35,-0.0006853352229884
36,11,1,.,-2,-2,36,-0.0020944363026059
37,11,1,.,-2,-1,37,-6.009325905421273
38,11,1,.,-2,0,38,-8.452282855037039
39,11,1,.,-2,1,39,-0.0011346664200058
40,11,1,.,-2,2,40,-0.0028511596663325
41,11,1,.,-2,3,41,-0.0039519967988906
42,11,1,.,-2,4,42,-0.00117187740402
43,11,1,.,-2,5,43,-0.0018201198895142
44,11,1,.,-1,-5,44,-5.337779084663846e-05
45,11,1,.,-1,-4,45,-0.0008241986507308
46,11,1,.,-1,-3,46,-0.0026316902030474
47,11,1,.,-1,-2,47,-6.7723494727171225
48,11,1,.,-1,-1,48,-6.737491027103459
49,11,1,.,-1,0,49,-5.205410026990297
50,11,1,.,-1,1,50,-0.0008534883196697
51,11,1,.,-1,2,51,-0.0022883186300085
52,11,1,.,-1,3,52,-0.0010029709834146
53,11,1,.,-1,4,53,-0.0043475701179661
54,11,1,.,-1,5,54,-0.0003320774054665
55,11,1,.,0,-5,55,-0.0008847534902893
56,11,1,.,0,-4,56,-0.0002146041081221
57,11,1,.,0,-3,57,-6.0170161514947855
58,11,1,.,0,-2,58,-6.066198937563395
59,11,1,.,0,-1,59,-6.8807033898946175
60,11,1,.,0,0,60,-5.859125142013908
61,11,1,.,0,1,61,-0.0022071206430512
62,11,1,.,0,2,62,-0.0004643197026313
63,11,1,.,0,3,63,-0.0028462609858256
64,11,1,.,0,4,64,-0.001369138499009
65,11,1,.,0,5,65,-0.0003749065058514
66,11,1,.,1,-5,66,-0.0026140929771706
67,11,1,.,1,-4,67,-0.0004425102703592
68,11,1,.,1,-3,68,-9.425182591234584
69,11,1,.,1,-2,69,-6.798531653845337
70,11,1,.,1,-1,70,-6.746696259002501
71,11,1,.,1,0,71,-0.0045450154407384
72,11,1,.,1,1,72,-0.0025542797919442
73,11,1,.,1,2,73,-0.000658791018974
74,11,1,.,1,3,74,-0.002142128945616
75,11,1,.,1,4,75,-0.0003657960471538
76,11,1,.,1,5,76,-0.0004736453554712
77,11,1,.,2,-5,77,-0.0007506198146468
