,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,19.99202999828369
0,3.0,46.90474590422011
0,4.0,74.79915614096865
0,5.0,91.76530633791508
0,6.0,109.69075362253405
0,7.0,118.49387782161398
0,8.0,122.59278888155332
0,9.0,137.80513232669483
0,10.0,146.39819354683965
0,11.0,153.9973286582425
0,12.0,160.1062315876627
0,13.0,165.356151059229
0,14.0,172.3316198666617
0,15.0,181.20588301388807
0,16.0,190.10434807063444
0,17.0,195.10349330983783
0,18.0,204.81381082795875
0,19.0,209.8433329380829
0,20.0,215.08762042498464
0,21.0,219.6755822147212
0,22.0,221.94477135991653
0,23.0,226.9901786381692
0,24.0,227.1886164190005
0,25.0,234.6259149421512
0,26.0,238.89566318339791
0,27.0,243.5262812493248
0,28.0,247.9388549224144
0,29.0,252.56091567963048
0,30.0,263.0227621604289
0,31.0,262.3814963380419
0,32.0,267.3650938000415
0,33.0,269.5350613899428
0,34.0,275.4906005871724
0,35.0,286.732184223828
0,36.0,297.33349384747424
0,37.0,300.3628327478731
0,38.0,312.8725706969126
0,39.0,316.953702840221
0,40.0,322.6829042890706
0,41.0,329.9045028326422
0,42.0,331.9433203941315
0,43.0,334.97105572281816
0,44.0,338.51988954117564
0,45.0,340.04534625753246
0,46.0,344.7850927324422
0,47.0,344.9199563689268
0,48.0,347.5334160827076
0,49.0,348.13692140463286
0,50.0,351.7261754981987
0,51.0,358.70119521183534
0,52.0,362.4428236487463
0,53.0,363.456694853095
0,54.0,366.84454071967366
0,55.0,368.5876168645688
0,56.0,372.7559986891704
0,57.0,378.85637741921255
0,58.0,379.8086365244345
0,59.0,387.31940861830816
0,60.0,388.28285309841294
0,61.0,393.2597031744597
0,62.0,395.1959221747588
0,63.0,402.3356567711498
0,64.0,405.6268905754538
0,65.0,408.8192896509132
0,66.0,410.6124884106528
0,67.0,425.6917595045528
0,68.0,429.9707463764517
0,69.0,429.9477417846942
0,70.0,433.9108089228865
0,71.0,433.1606684965325
0,72.0,438.1612776483912
0,73.0,438.25466924227743
0,74.0,444.71213247003936
0,75.0,447.3414523084668
0,76.0,448.90482074667057
0,77.0,451.4731711503136
0,78.0,455.8718153439449
0,79.0,460.7295278335385
0,80.0,464.2737965990142
0,81.0,464.500673521542
0,82.0,464.56090924928367
0,83.0,466.727536634909
0,84.0,465.8275185944248
0,85.0,464.55104500579375
0,86.0,465.21892106102297
