,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,11,1,.,-5,-5,0,-0.0002646520149675
1,11,1,.,-5,-4,1,-0.0001268850900423
2,11,1,.,-5,-3,2,-0.001446893355918
3,11,1,.,-5,-2,3,-0.0003248707653915
4,11,1,.,-5,-1,4,-0.0002248085821904
5,11,1,.,-5,0,5,-0.0027048747818631
6,11,1,.,-5,1,6,-2.997499040439944e-05
7,11,1,.,-5,2,7,-0.0019319054648547
8,11,1,.,-5,3,8,-0.0015319837863501
9,11,1,.,-5,4,9,-0.0026863710594523
10,11,1,.,-5,5,10,-0.0030017841965204
11,11,1,.,-4,-5,11,-0.0003216650877199
12,11,1,.,-4,-4,12,-0.0014557552595101
13,11,1,.,-4,-3,13,-0.000509844584954
14,11,1,.,-4,-2,14,-0.0001919542574765
15,11,1,.,-4,-1,15,-0.0016058312721142
16,11,1,.,-4,0,16,-0.0064281944198083
17,11,1,.,-4,1,17,-0.0009607190642215
18,11,1,.,-4,2,18,-6.047553422780516e-05
19,11,1,.,-4,3,19,-0.0029004123688385
20,11,1,.,-4,4,20,-0.00042439868306
21,11,1,.,-4,5,21,-0.0008204691711488
22,11,1,.,-3,-5,22,-0.0013521139448008
23,11,1,.,-3,-4,23,-0.0041927183955658
24,11,1,.,-3,-3,24,-0.001251499820041
25,11,1,.,-3,-2,25,-0.0007317013280733
26,11,1,.,-3,-1,26,-0.0021247420163058
27,11,1,.,-3,0,27,-0.0021643001922511
28,11,1,.,-3,1,28,-0.0016009816866249
29,11,1,.,-3,2,29,-0.000359552979975
30,11,1,.,-3,3,30,-0.0006769050614977
31,11,1,.,-3,4,31,-0.0009347804540794
32,11,1,.,-3,5,32,-0.0016871533143203
33,11,1,.,-2,-5,33,-0.0002720078664528
34,11,1,.,-2,-4,34,-0.0006529426040731
35,11,1,.,-2,-3,35,-0.0015313404793456
36,11,1,.,-2,-2,36,-0.0021667157206584
37,11,1,.,-2,-1,37,-5.681608487287696
38,11,1,.,-2,0,38,-6.623810237211213
39,11,1,.,-2,1,39,-0.0005437690977655
40,11,1,.,-2,2,40,-0.0003650956051688
41,11,1,.,-2,3,41,-0.0001467359002818
42,11,1,.,-2,4,42,-0.0002800655205332
43,11,1,.,-2,5,43,-0.0022263381025076
44,11,1,.,-1,-5,44,-0.0025053420190044
45,11,1,.,-1,-4,45,-4.526285449376645e-05
46,11,1,.,-1,-3,46,-0.0006894055496049
47,11,1,.,-1,-2,47,-0.0011549196714327
48,11,1,.,-1,-1,48,-4.975445395700551
49,11,1,.,-1,0,49,-5.5522288815136704
50,11,1,.,-1,1,50,-0.0013830705194191
51,11,1,.,-1,2,51,-0.0011078638583751
52,11,1,.,-1,3,52,-0.0018439945209384
53,11,1,.,-1,4,53,-0.0001786706931623
54,11,1,.,-1,5,54,-0.0023304010748392
55,11,1,.,0,-5,55,-7.6851470359263e-05
56,11,1,.,0,-4,56,-0.0040638361738547
57,11,1,.,0,-3,57,-5.251394364909916
58,11,1,.,0,-2,58,-6.875151645413938
59,11,1,.,0,-1,59,-6.857199321724927
60,11,1,.,0,0,60,-5.5319730467821575
61,11,1,.,0,1,61,-0.0003388653436824
62,11,1,.,0,2,62,-0.0021169608382931
63,11,1,.,0,3,63,-0.0004008564046458
64,11,1,.,0,4,64,-0.0002047638830992
65,11,1,.,0,5,65,-0.0001605042554826
66,11,1,.,1,-5,66,-0.0009643742045826
67,11,1,.,1,-4,67,-0.0001587547153082
68,11,1,.,1,-3,68,-6.567675163931965
69,11,1,.,1,-2,69,-5.940764181628462
70,11,1,.,1,-1,70,-7.01702445187821
71,11,1,.,1,0,71,-0.0041503573712855
72,11,1,.,1,1,72,-0.000320305325276
73,11,1,.,1,2,73,-0.0009674703826659
74,11,1,.,1,3,74,-5.023627747353932e-05
75,11,1,.,1,4,75,-0.0008866441009982
76,11,1,.,1,5,76,-0.000218745963995
77,11,1,.,2,-5,77,-0.0015660522449686
78,11,1,.,2,-4,78,-0.0002398022038168
79,11,1,.,2,-3,79,-5.898280841609939
80,11,1,.,2,-2,80,-6.1567964133277915
81,11,1,.,2,-1,81,-0.000852415004317
82,11,1,.,2,0,82,-0.0004216481409324
83,11,1,.,2,1,83,-0.0006134503557419
84,11,1,.,2,2,84,-0.0014981136862017
85,11,1,.,2,3,85,-0.0005004803611894
86,11,1,.,2,4,86,-0.0013518853733894
87,11,1,.,2,5,87,-0.0002727188282211
88,11,1,.,3,-5,88,-0.0002320026631159
89,11,1,.,3,-4,89,-0.0005364832570816
90,11,1,.,3,-3,90,-5.111110169640767
91,11,1,.,3,-2,91,-0.0011157620859731
92,11,1,.,3,-1,92,-4.7322328398047286e-05
93,11,1,.,3,0,93,-0.003636804034677
